#,Name (Original),Name,Team,PF,Conference,Division,Abbreviation,Name (Team),Year,Position,Team G Played,Qualified,G,GS,W,L,SV,CG,IP,AB,H,H/9,R,ER,BB,BB/9,K,K/9,K/BB,ERA,WHIP,FIP,E-F,ERA+,ERA-,WP,HBP,BK,SF,SH,1B,2B,3B,HR,TB,AVG,OBP,SLG,OPS
4,"Scotty
                                                                        Adelman",Scotty Adelman,Chillicothe Paints,1.386,Eastern,Northeast,CHI,Scotty Adelman (CHI),Jr,RHP,56,No*,10,6,3,0,1,0,32.33,119,25,6.96,18,17,15,4.18,26,7.24,1.73,4.73,1.24,6.4,-1.67,169,51,0,6,0,0,0,17,3,1,4,42,0.21,0.329,0.353,0.682
16,"Jack
                                                                        Rollo",Jack Rollo,Chillicothe Paints,1.386,Eastern,Northeast,CHI,Jack Rollo (CHI),Fr,RHP,56,No*,10,7,1,1,0,0,32.33,119,27,7.52,18,15,17,4.73,25,6.96,1.47,4.18,1.36,5.13,-0.95,191,45,3,7,1,1,0,21,4,2,0,35,0.227,0.354,0.294,0.648
21,"Zach
                                                                        Courson",Zach Courson,Normal CornBelters,0.884,Eastern,Central,NOR,Zach Courson (NOR),So,RHP,54,No*,12,4,2,1,0,0,32.33,111,32,8.91,18,12,9,2.51,29,8.07,3.22,3.34,1.27,4.54,-1.2,152,65,3,7,0,1,0,25,4,2,1,43,0.288,0.375,0.387,0.762
33,"Brendan
                                                                        Clarke",Brendan Clarke,Danville Dans,0.869,Eastern,Central,DAN,Brendan Clarke (DAN),Jr,RHP,56,No*,11,4,3,2,1,0,32,131,36,10.13,21,17,9,2.53,37,10.41,4.11,4.78,1.41,4.26,0.52,105,94,1,5,1,0,0,25,7,2,2,53,0.275,0.345,0.405,0.749
45,"Noah
                                                                        Berry",Noah Berry,Full Count Rhythm,1.031,Eastern,Central,FCR,Noah Berry (FCR),Fr,RHP,55,No*,10,5,0,2,1,0,31.67,132,39,11.08,24,20,16,4.55,29,8.24,1.81,5.68,1.74,5.15,0.53,104,96,6,2,0,1,0,30,6,1,2,53,0.295,0.377,0.402,0.779
99,"Austin
                                                                        Berggren",Austin Berggren,Normal CornBelters,0.884,Eastern,Central,NOR,Austin Berggren (NOR),So,RHP,54,No*,7,5,3,0,0,0,31.67,124,34,9.66,12,12,10,2.84,32,9.09,3.2,3.41,1.39,3.76,-0.35,149,66,6,4,0,1,0,32,2,0,0,36,0.274,0.345,0.29,0.636
99,"Graham
                                                                        Kasey",Graham Kasey,Normal CornBelters,0.884,Eastern,Central,NOR,Graham Kasey (NOR),So,LHP,54,No*,8,7,3,2,0,0,31.67,109,29,8.24,22,16,20,5.68,30,8.53,1.5,4.55,1.55,6.25,-1.7,112,88,1,6,0,0,0,23,2,1,3,42,0.266,0.407,0.385,0.793
99,"Ryan
                                                                        Hoshaw",Ryan Hoshaw,O'Fallon Hoots,1.04,Western,South,OFL,Ryan Hoshaw (OFL),Jr,LHP,56,No*,8,8,4,2,0,0,31.33,130,39,11.2,16,16,11,3.16,31,8.9,2.82,4.6,1.6,4.23,0.37,130,77,1,3,0,1,0,31,6,1,1,50,0.3,0.366,0.385,0.75
99,"Grant
                                                                        Holderfield",Grant Holderfield,Illinois Valley Pistol Shrimp,1.089,Western,Northwest,IVY,Grant Holderfield (IVY),So,LHP,56,No*,6,5,3,2,0,0,31,116,25,7.26,15,10,9,2.61,32,9.29,3.56,2.9,1.1,4.39,-1.49,216,46,0,3,0,1,0,18,3,2,2,38,0.216,0.287,0.328,0.614
47,"Matthew
                                                                        Brown",Matthew Brown,Alton River Dragons,1.06,Western,South,ALT,Matthew Brown (ALT),So,RHP,53,No*,10,1,3,1,0,0,30.33,113,27,8.01,20,15,18,5.34,14,4.15,0.78,4.45,1.48,6.17,-1.72,137,73,2,0,0,1,0,18,6,1,2,41,0.239,0.341,0.363,0.704
6,"Mikey
                                                                        Olivieri",Mikey Olivieri,Chillicothe Paints,1.386,Eastern,Northeast,CHI,Mikey Olivieri (CHI),So,RHP,56,No*,15,2,1,1,1,1,30.33,114,34,10.09,26,26,20,5.93,18,5.34,0.9,7.71,1.78,8.64,-0.93,103,82,3,4,0,5,0,23,4,0,7,59,0.298,0.406,0.518,0.923
42,"Sam
                                                                        Matherly",Sam Matherly,Full Count Rhythm,1.031,Eastern,Central,FCR,Sam Matherly (FCR),Fr,RHP,55,No*,13,3,3,0,0,0,30.33,113,28,8.31,20,17,20,5.93,22,6.53,1.1,5.04,1.58,5.47,-0.43,118,85,4,5,0,2,0,26,2,0,0,30,0.248,0.379,0.265,0.644
7,"Stephen
                                                                        Eskridge",Stephen Eskridge,Springfield Lucky Horseshoes,0.926,Western,Northwest,SPR,Stephen Eskridge (SPR),Jr,LHP,55,No*,10,5,1,2,1,0,30.33,113,29,8.61,21,16,30,8.9,42,12.46,1.4,4.75,1.95,5.18,-0.43,112,89,5,1,0,1,0,24,4,0,1,36,0.257,0.414,0.319,0.732
13,"Colin
                                                                        Bryant",Colin Bryant,Chillicothe Paints,1.386,Eastern,Northeast,CHI,Colin Bryant (CHI),Sr,LHP,56,No*,9,4,2,0,0,0,30,119,32,9.6,25,20,12,3.6,19,5.7,1.58,6,1.47,6.95,-0.95,133,64,0,4,0,2,0,21,5,1,5,54,0.269,0.35,0.454,0.804
52,"Luke
                                                                        Walter",Luke Walter,Chillicothe Paints,1.386,Eastern,Northeast,CHI,Luke Walter (CHI),So,RHP,56,No*,10,8,0,3,0,0,30,121,38,11.4,24,22,20,6,22,6.6,1.1,6.6,1.93,6.25,0.35,121,70,4,4,1,2,0,24,11,1,2,57,0.314,0.422,0.471,0.893
99,"Nathan
                                                                        Frady",Nathan Frady,Dubois County Bombers,0.908,Eastern,Central,DUB,Nathan Frady (DUB),Fr,RHP,54,No*,10,3,1,3,0,0,30,110,28,8.4,21,18,10,3,23,6.9,2.3,5.4,1.27,4.95,0.45,97,102,4,6,0,5,0,22,4,1,1,37,0.255,0.336,0.336,0.672
14,"Jett
                                                                        Sutton",Jett Sutton,Jackson Rockabillys,0.871,Western,South,JAX,Jett Sutton (JAX),Fr,RHP,55,No,7,6,0,1,0,0,29.67,105,22,6.67,19,18,29,8.8,35,10.62,1.21,5.46,1.72,6.54,-1.08,92,107,5,2,0,2,0,12,6,1,3,39,0.21,0.384,0.371,0.755
