#,Name (Original),Name,Team,Abbreviation,Name (Team),Year,Position,G,Team G Played,PA/TG,PA,PA/G,Participation Level,Qualified,AB,BIP,R,R/PA,H,1B,2B,3B,HR,RBI,BB,BB%,K,K%,TTO,TTO%,SB,CS,AVG,BABIP,OBP,SLG,OPS,ISO,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,RC,
34,"Justin
                                                                        Santoyo",Justin Santoyo,Alton River Dragons,ALT,Justin Santoyo (ALT),Jr,IF,3,7,1.86,13,4.33,42.86%,No,12,12,1,0.08,6,5,0,1,0,2,1,7.69%,0,0.00%,1,7.69%,1,0,0.500,0.500,0.538,0.667,1.205,0.167,0,0,0,8,1,0,2,2,1.00,4.73,
1,"Cooper
                                                                        Howell",Cooper Howell,Alton River Dragons,ALT,Cooper Howell (ALT),So,IF,6,7,4.29,30,5.00,85.71%,Yes,26,20,6,0.20,7,5,2,0,0,4,3,10.00%,6,20.00%,9,30.00%,3,0,0.269,0.350,0.367,0.346,0.713,0.077,1,0,0,9,2,0,5,6,0.83,4.25,
21,"Rj
                                                                        LaRocco Jr.",Rj LaRocco Jr.,Alton River Dragons,ALT,Rj LaRocco Jr. (ALT),Sr,OF,5,7,2.57,18,3.60,71.43%,No,16,15,2,0.11,6,6,0,0,0,2,2,11.11%,1,5.56%,3,16.67%,2,0,0.375,0.400,0.444,0.375,0.819,0.000,0,0,0,6,0,0,7,2,3.50,3.36,
20,"Cole
                                                                        Schrank",Cole Schrank,Alton River Dragons,ALT,Cole Schrank (ALT),Jr,C,6,7,3.00,21,3.50,85.71%,Yes,17,10,3,0.14,5,4,0,1,0,3,4,19.05%,7,33.33%,11,52.38%,0,0,0.294,0.500,0.429,0.412,0.841,0.118,0,0,0,7,1,1,2,3,0.67,3.06,
31,"Erik
                                                                        Broekemeier",Erik Broekemeier,Alton River Dragons,ALT,Erik Broekemeier (ALT),Jr,IF,7,7,3.86,27,3.86,100.00%,Yes,24,20,4,0.15,6,6,0,0,0,4,2,7.41%,4,14.81%,6,22.22%,3,0,0.250,0.300,0.333,0.250,0.583,0.000,1,0,0,6,0,0,8,5,1.60,2.78,
7,"Joe
                                                                        Connolly",Joe Connolly,Alton River Dragons,ALT,Joe Connolly (ALT),Fr,IF,5,7,3.43,24,4.80,71.43%,Yes,20,19,4,0.17,6,6,0,0,0,3,3,12.50%,1,4.17%,4,16.67%,2,2,0.300,0.316,0.417,0.300,0.717,0.000,1,0,0,6,0,0,5,6,0.83,2.69,
3,"Eli
                                                                        Hill",Eli Hill,Alton River Dragons,ALT,Eli Hill (ALT),Fr,OF,5,7,3.29,23,4.60,71.43%,Yes,16,11,2,0.09,3,3,0,0,0,1,6,26.09%,5,21.74%,11,47.83%,2,0,0.188,0.273,0.435,0.188,0.623,0.000,1,0,0,3,0,0,6,2,3.00,2.55,
35,"Aaditya
                                                                        Sur",Aaditya Sur,Alton River Dragons,ALT,Aaditya Sur (ALT),So,C,2,7,1.29,9,4.50,28.57%,No,8,6,0,0.00,3,2,1,0,0,5,1,11.11%,2,22.22%,3,33.33%,0,0,0.375,0.500,0.444,0.500,0.944,0.125,0,0,0,4,1,0,1,1,1.00,1.89,
15,"Luke
                                                                        Parmentier",Luke Parmentier,Alton River Dragons,ALT,Luke Parmentier (ALT),So,IF,5,7,3.00,21,4.20,71.43%,Yes,14,9,2,0.10,1,0,1,0,0,2,3,14.29%,5,23.81%,8,38.10%,2,0,0.071,0.111,0.381,0.143,0.524,0.072,4,0,0,2,1,1,5,3,1.67,1.62,
17,"Bryer
                                                                        Arview",Bryer Arview,Alton River Dragons,ALT,Bryer Arview (ALT),Fr,IF,4,7,1.86,13,3.25,57.14%,No,13,9,1,0.08,3,1,1,1,0,2,0,0.00%,4,30.77%,4,30.77%,1,0,0.231,0.333,0.231,0.462,0.693,0.231,0,0,0,6,2,0,3,3,1.00,1.50,
5,"Dane
                                                                        Stevenson",Dane Stevenson,Alton River Dragons,ALT,Dane Stevenson (ALT),Jr,IF,3,7,1.71,12,4.00,42.86%,No,9,5,2,0.17,2,2,0,0,0,0,1,8.33%,4,33.33%,5,41.67%,3,1,0.222,0.400,0.417,0.222,0.639,0.000,2,0,0,2,0,0,1,1,1.00,1.45,
11,"James
                                                                        Theodore",James Theodore,Alton River Dragons,ALT,James Theodore (ALT),Fr,OF,5,7,2.29,16,3.20,71.43%,No,14,14,2,0.13,3,3,0,0,0,0,1,6.25%,0,0.00%,1,6.25%,4,0,0.214,0.214,0.313,0.214,0.527,0.000,1,0,0,3,0,1,6,4,1.50,1.40,
4,"Diego
                                                                        Murillo",Diego Murillo,Alton River Dragons,ALT,Diego Murillo (ALT),So,IF,3,7,1.29,9,3.00,42.86%,No,7,5,2,0.22,2,2,0,0,0,0,2,22.22%,2,22.22%,4,44.44%,1,0,0.286,0.400,0.444,0.286,0.730,0.000,0,0,0,2,0,0,2,1,2.00,1.35,
42,"Xian'en
                                                                        Zeng",Xian'en Zeng,Alton River Dragons,ALT,Xian'en Zeng (ALT),Fr,IF,6,7,3.57,25,4.17,85.71%,Yes,22,19,2,0.08,4,4,0,0,0,1,2,8.00%,3,12.00%,5,20.00%,0,0,0.182,0.211,0.280,0.182,0.462,0.000,1,0,0,4,0,0,8,6,1.33,1.34,
13,"Jordan
                                                                        Aguallo",Jordan Aguallo,Alton River Dragons,ALT,Jordan Aguallo (ALT),Jr,RHP,3,7,1.29,9,3.00,42.86%,No,8,7,3,0.33,2,2,0,0,0,2,0,0.00%,1,11.11%,1,11.11%,1,0,0.250,0.286,0.333,0.250,0.583,0.000,1,0,0,2,0,0,0,5,-,0.93,
23,"Luke
                                                                        Melton",Luke Melton,Alton River Dragons,ALT,Luke Melton (ALT),So,C,2,7,0.71,5,2.50,28.57%,No,1,1,1,0.20,0,0,0,0,0,0,3,60.00%,0,0.00%,3,60.00%,0,0,0.000,0.000,0.800,0.000,0.800,0.000,1,0,0,0,0,0,1,0,-,0.83,
6,"Tyler
                                                                        Martin",Tyler Martin,Alton River Dragons,ALT,Tyler Martin (ALT),Fr,C,2,7,0.57,4,2.00,28.57%,No,1,0,0,0.00,0,0,0,0,0,0,2,50.00%,1,25.00%,3,75.00%,0,0,0.000,0.000,0.750,0.000,0.750,0.000,1,0,0,0,0,0,0,0,-,0.59,
12,"Darius
                                                                        Blackmon",Darius Blackmon,Alton River Dragons,ALT,Darius Blackmon (ALT),Jr,OF,4,7,1.14,8,2.00,57.14%,No,8,5,1,0.13,2,1,1,0,0,1,0,0.00%,3,37.50%,3,37.50%,0,1,0.250,0.400,0.250,0.375,0.625,0.125,0,0,0,3,1,0,2,0,-,0.38,
66,"Javi
                                                                        Alvarez",Javi Alvarez,Alton River Dragons,ALT,Javi Alvarez (ALT),Fr,IF,2,7,0.14,1,0.50,28.57%,No,0,0,1,1.00,0,0,0,0,0,0,1,100.00%,0,0.00%,1,100.00%,0,0,0.000,0.000,1.000,0.000,1.000,0.000,0,0,0,0,0,0,0,0,-,0.26,
41,"Jack
                                                                        Gazdacka",Jack Gazdacka,Alton River Dragons,ALT,Jack Gazdacka (ALT),So,IF,3,7,1.14,8,2.67,42.86%,No,6,6,0,0.00,0,0,0,0,0,1,1,12.50%,0,0.00%,1,12.50%,0,0,0.000,0.000,0.250,0.000,0.250,0.000,1,0,0,0,0,0,3,3,1.00,0.13,
32,"Cooper
                                                                        Donlin",Cooper Donlin,Burlington Bees,BRL,Cooper Donlin (BRL),Jr,OF,4,5,3.60,18,4.50,80.00%,Yes,14,10,7,0.39,4,1,2,0,1,3,3,16.67%,3,16.67%,7,38.89%,1,1,0.286,0.300,0.444,0.643,1.087,0.357,1,0,0,9,3,0,5,2,2.50,4.11,
18,"Cedric
                                                                        Dunnwald",Cedric Dunnwald,Burlington Bees,BRL,Cedric Dunnwald (BRL),So,OF,4,5,3.60,18,4.50,80.00%,Yes,15,11,2,0.11,5,4,1,0,0,0,2,11.11%,4,22.22%,6,33.33%,1,0,0.333,0.455,0.412,0.400,0.812,0.067,0,0,1,6,1,0,4,2,2.00,2.94,
45,"Kinnick
                                                                        Pusteoska",Kinnick Pusteoska,Burlington Bees,BRL,Kinnick Pusteoska (BRL),Fr,IF,3,5,2.20,11,3.67,60.00%,No,10,3,1,0.09,3,2,0,0,1,2,1,9.09%,6,54.55%,8,72.73%,0,0,0.300,0.667,0.364,0.600,0.964,0.300,0,0,0,6,1,0,0,1,-,2.28,
24,"Scotty
                                                                        Savage",Scotty Savage,Burlington Bees,BRL,Scotty Savage (BRL),So,OF,5,5,3.00,15,3.00,100.00%,Yes,14,8,2,0.13,4,2,1,0,1,1,0,0.00%,5,33.33%,6,40.00%,0,0,0.286,0.375,0.333,0.571,0.904,0.285,1,0,0,8,2,1,3,2,1.50,2.20,
9,"Jackson
                                                                        Reid",Jackson Reid,Burlington Bees,BRL,Jackson Reid (BRL),Fr,OF,3,5,2.60,13,4.33,60.00%,No,8,6,2,0.15,2,2,0,0,0,0,3,23.08%,2,15.38%,5,38.46%,1,0,0.250,0.333,0.500,0.250,0.750,0.000,1,0,1,2,0,0,4,1,4.00,1.88,
12,"Nick
                                                                        Meyer",Nick Meyer,Burlington Bees,BRL,Nick Meyer (BRL),So,C,3,5,2.60,13,4.33,60.00%,No,10,8,1,0.08,3,3,0,0,0,4,2,15.38%,3,23.08%,5,38.46%,1,0,0.300,0.375,0.385,0.300,0.685,0.000,0,1,0,3,0,0,1,2,0.50,1.75,
7,"Jackson
                                                                        Lindquist",Jackson Lindquist,Burlington Bees,BRL,Jackson Lindquist (BRL),So,IF,3,5,2.60,13,4.33,60.00%,No,9,7,2,0.15,2,2,0,0,0,2,2,15.38%,3,23.08%,5,38.46%,2,0,0.222,0.286,0.385,0.222,0.607,0.000,1,1,0,2,0,0,2,3,0.67,1.67,
25,"Merrick
                                                                        Mathews",Merrick Mathews,Burlington Bees,BRL,Merrick Mathews (BRL),Jr,IF,4,5,2.80,14,3.50,80.00%,Yes,10,5,2,0.14,1,0,0,0,1,2,3,21.43%,4,28.57%,8,57.14%,1,1,0.100,0.000,0.357,0.400,0.757,0.300,1,0,0,4,1,0,3,2,1.50,1.59,
11,"Landon
                                                                        Akers",Landon Akers,Burlington Bees,BRL,Landon Akers (BRL),Fr,IF,4,5,3.40,17,4.25,80.00%,Yes,16,15,2,0.12,4,4,0,0,0,3,1,5.88%,1,5.88%,2,11.76%,0,0,0.250,0.267,0.294,0.250,0.544,0.000,0,0,0,4,0,0,6,4,1.50,1.25,
2,"Jackson
                                                                        Rooker",Jackson Rooker,Burlington Bees,BRL,Jackson Rooker (BRL),Fr,IF,3,5,2.40,12,4.00,60.00%,No,7,4,0,0.00,1,1,0,0,0,2,4,33.33%,4,33.33%,8,66.67%,2,1,0.143,0.250,0.417,0.143,0.560,0.000,0,1,0,1,0,0,2,1,2.00,1.20,
4,"Ty
                                                                        Plummer",Ty Plummer,Burlington Bees,BRL,Ty Plummer (BRL),Fr,IF,4,5,2.80,14,3.50,80.00%,Yes,11,8,3,0.21,1,1,0,0,0,1,2,14.29%,3,21.43%,5,35.71%,2,0,0.091,0.125,0.286,0.091,0.377,0.000,1,0,0,1,0,0,3,2,1.50,0.81,
