#,Name (Original),Name,Team,Abbreviation,Name (Team),Year,Position,G,Team G Played,PA/TG,PA,PA/G,Participation Level,Qualified,AB,BIP,R,R/PA,H,1B,2B,3B,HR,RBI,BB,BB%,K,K%,TTO,TTO%,SB,CS,AVG,BABIP,OBP,SLG,OPS,ISO,HBP,SF,SH,TB,XBH,HDP,GO,FO,GO/FO,RC,
16,"Trey
                                                                        Racherbaumer",Trey Racherbaumer,Jackson Rockabillys,JAX,Trey Racherbaumer (JAX),Jr,C,7,7,2.86,20,2.86,100.00%,Yes,13,9,2,0.10,1,1,0,0,0,1,7,35.00%,4,20.00%,11,55.00%,0,0,0.077,0.111,0.400,0.077,0.477,0.000,0,0,0,1,0,1,4,3,1.33,0.99,
4,"Julian
                                                                        Jimenez",Julian Jimenez,Jackson Rockabillys,JAX,Julian Jimenez (JAX),Jr,OF,5,7,2.86,20,4.00,71.43%,Yes,15,9,6,0.30,1,1,0,0,0,0,5,25.00%,6,30.00%,11,55.00%,0,0,0.067,0.111,0.300,0.067,0.367,0.000,0,0,0,1,0,1,5,2,2.50,0.58,
44,"Nick
                                                                        Varon",Nick Varon,Jackson Rockabillys,JAX,Nick Varon (JAX),Sr,IF,3,7,2.00,14,4.67,42.86%,No,12,9,0,0.00,1,0,1,0,0,0,2,14.29%,3,21.43%,5,35.71%,0,0,0.083,0.111,0.214,0.167,0.381,0.084,0,0,0,2,1,0,2,5,0.40,0.54,
0,"Austin
                                                                        Epperson",Austin Epperson,Jackson Rockabillys,JAX,Austin Epperson (JAX),SO,,3,7,1.43,10,3.33,42.86%,No,4,2,0,0.00,0,0,0,0,0,1,5,50.00%,2,20.00%,7,70.00%,0,2,0.000,0.000,0.600,0.000,0.600,0.000,1,0,0,0,0,1,2,0,-,0.47,
88,"Chris
                                                                        Akers",Chris Akers,Jackson Rockabillys,JAX,Chris Akers (JAX),Jr,C,2,7,1.00,7,3.50,28.57%,No,6,4,0,0.00,1,1,0,0,0,1,0,0.00%,2,28.57%,2,28.57%,0,0,0.167,0.250,0.286,0.167,0.453,0.000,1,0,0,1,0,0,2,1,2.00,0.36,
17,"Jackson
                                                                        Bryan",Jackson Bryan,Jackson Rockabillys,JAX,Jackson Bryan (JAX),Jr,C,2,7,1.00,7,3.50,28.57%,No,4,0,0,0.00,0,0,0,0,0,0,2,28.57%,4,57.14%,6,85.71%,0,0,0.000,0.000,0.429,0.000,0.429,0.000,1,0,0,0,0,0,0,0,-,0.33,
36,"Stan
                                                                        King",Stan King,Jackson Rockabillys,JAX,Stan King (JAX),Jr,IF,3,7,1.86,13,4.33,42.86%,No,13,10,3,0.23,3,3,0,0,0,1,0,0.00%,3,23.08%,3,23.08%,0,0,0.231,0.300,0.231,0.231,0.462,0.000,0,0,0,3,0,2,5,2,2.50,0.23,
24,"Trent
                                                                        Lawrence",Trent Lawrence,Jackson Rockabillys,JAX,Trent Lawrence (JAX),So,IF,3,7,1.29,9,3.00,42.86%,No,8,2,0,0.00,0,0,0,0,0,1,1,11.11%,6,66.67%,7,77.78%,0,0,0.000,0.000,0.111,0.000,0.111,0.000,0,0,0,0,0,0,0,2,-,0.03,
33,"Peyton
                                                                        Starr",Peyton Starr,Johnstown Mill Rats,JNT,Peyton Starr (JNT),Jr,IF,7,7,3.71,26,3.71,100.00%,Yes,22,17,2,0.08,6,3,2,1,0,4,3,11.54%,5,19.23%,8,30.77%,0,0,0.273,0.353,0.385,0.455,0.840,0.182,1,0,0,10,3,1,7,4,1.75,3.82,
10,"Colton
                                                                        Ayres",Colton Ayres,Johnstown Mill Rats,JNT,Colton Ayres (JNT),So,OF,6,7,3.43,24,4.00,85.71%,Yes,18,13,3,0.13,6,6,0,0,0,1,4,16.67%,5,20.83%,9,37.50%,0,1,0.333,0.462,0.500,0.333,0.833,0.000,2,0,0,6,0,0,1,4,0.25,3.47,
